"!symbol / month","!symbol / month"
"* Required Fields","* Required Fields"
"-- No Status Change --","-- No Status Change --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure verification failed"
"3D Secure sucess","3D Secure successfull"
"3D secure authorization attempted","3D secure authorization attempted"
"3d Secure Active","3D Secure Active"
"3d Secure Result","3d Secure Result"
"3d Secure Verification failed","3D Secure verification failed"
"<br />If your purchase with Klarna is higher than !symbol 199.99, you will receive a consumer credit agreement from Klarna with the request for signing. Until then your purchase is considered as invoice purchase.","<br />If your purchase with Klarna is higher than !symbol 199.99, you will receive a consumer credit agreement from Klarna with the request for signing. Until then your purchase is considered as invoice purchase."
"A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'."
"A refund was added over !amount.","A refund was added over !amount."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"About","About"
"Access Control Server not responding","Access Control Server not responding"
"Account Holder Name","Account holder"
"Account Number","Account Number"
"Account owner name.","Account holder"
"Action","Action"
"Actions","Actions"
"Activate","Active"
"Activated","Activated"
"Active","Active"
"Additional Information","Additional Information"
"Adjust Qty","Adjust Quantity"
"Adjustment Discount","Adjustment Discount"
"Adjustment Fee","Adjustment Fee"
"After payment selection","After payment method selection"
"Age verification","Age verification"
"Ajax authorization not supported.","Ajax authorization not supported"
"Alias","Alias"
"Alias For Display","Alias For Display"
"Alias Manager","Alias Manager"
"Alias manager","One-Click Checkout (Alias Manager)"
"All Customers","All Customers"
"Allowed Currencies","Allowed currencies"
