"banner_legal_text_be %1 %2 _be","<strong class='special-taeg'>TAEG de 0,0%</strong></br>calculada com base na TAN de 0,00%. Crédito Pessoal para montantes de financiamento de <strong>75€ a 2.000€, pagos em 3 ou 4 prestações com cartão de débito ou de crédito das redes Visa® ou Mastercard®</strong>, sem juros nem encargos. Adesão ao crédito sujeito à aprovação. Informe-se junto do Oney Bank em <a href='https://www.oney.pt/3x-4x-oney' target='_blank'>oney.pt</a>. O/A %1 atua como intermediário de crédito a título acessório %2. Informação referente à prestação de serviços de intermediação de crédito disponível"
"banner_legal_text_pedago %1 %2 _be","La Solution Oney est une offre de crédit sans intérêt, remboursable dans les deux mois, dont les frais mensuels sont inférieurs à 4,84 EUR (montant soumis à une indexation annuelle imposée par l’article VII.3,§2, 3° du Code de droit économique (ci-après, le « CDE »), en application de l’indice des prix à la consommation) et à laquelle les règles du livre VII du CDE en matière de crédit à la consommation ne s’appliquent pas en raison de sa durée et des frais négligeables qui y sont associés. Solution réservée aux particuliers et valable pour tout achat de %1 € à %2 €. Vous disposez d’un délai de 14 jours pour renoncer à votre crédit. <br/>
                                                            Sous réserve d’acceptation par : Oney Bank - Société Anonyme au capital de 51 286 585 € - 34 avenue de Flandre 59170 CROIX - Immatriculée au Registre du Commerce et des Sociétés de Lille Métropole sous le numéro 546 380 197.<br/>
                                                            Oney Bank est agréée en tant qu’établissement de crédit par l’Autorité de Contrôle Prudentiel (ACPR), 61 rue Taitbout 75436 Paris cedex 09, et est soumise à son contrôle. La liste des établissements de crédit agréés est consultable sur le site Internet <a href='https://www.regafi.fr'>www.regafi.fr</a> édité par l’ACPR. Oney Bank agit en Belgique depuis la France sous le régime de la libre prestation de service.<br/>
                                                            Oney Bank n’exerce pas une profession règlementée en Belgique compte-tenu de la nature des services qui y sont proposés (crédit exempté de l’application des dispositions du livre VII du Code de droit économique)."
"oney_with _be","Par"
"oney_credit_card _be","CARTE<br/> BANCAIRE"
"Without fee _be","Sans frais"
"Pay in _be","Payez en"
"Pay in %1 free _be","Paiement sans frais"
"Simulation Pay in %1 _be","Paiement en %1x"
"Pay in %1 _be","Paiement"
"Choose _be","Choisissez",
"Confirm your purchase and select %1 Oney for payment. _be","Lorsque vous sélectionnez votre mode de paiement"
"We only ask you for some information _be","Dites-nous tout"
"Complete your request easily and with a few clicks. _be","Facile et rapide, complétez le formulaire, sans fournir aucun document"
"You have an immediate response. _be","Et voilà!"
"We will get back to you right away. _be","Vous avez une réponse immédiate"
"oney_exclusive_text _be",""
"oney_non_exclusive_text _be",""
"Learn more on Oney _be",""
"Learn more on </br>Oney _be",""
"oney_here _be",""
"Oney is the solution _be","Solution de paiement simple & rapide"
"Or pay in _be","Payez en"
"Or _be","Ou"
"with your credit card _be","Par carte bancaire"
"First payment : _be","Premier paiement à régler aujourd'hui :"
"Following %1 mensualities : _be","suivi de %1 mensualités de :"
"Total : _be","Total:"
"Credit cost included : _be","Dont coût du crédit inclus :"
"TIN: _be","TAN:"
"Learn more _be","En savoir plus"
"Or pay in %1 _be","Paiement"
"by credit card _be","Par carte bancaire"
"oney_simulation_text _be","A payer aujourd’hui <strong>%1</strong> suivi de <strong>%2</strong> mensualités de <strong>%3</strong></br>Coût total: <strong>%4</strong> (dont coût du service de paiement <strong>%5</strong>)"
"legal_text_payment _be",""
"with credit card _be","Par carte bancaire"
"not_exclusive_text_payment _be",""
"Wrong country for Oney _be","Mauvais pays pour Oney"
"Wrong phone for Oney _be","Mauvais numéro de téléphone pour Oney"
"Wrong postal for Oney _be","Mauvais code postal pour Oney"
